Component,Split,accuracy,precision,recall,f1,r2,n_examples,exact_recovery_at_3,accuracy_not_answer,diversity,bleu,rouge_l,meteor
Distractor Ranker,dev,0.9894275330612828,0.9858572949946752,0.964492602625547,0.9750579313250474,,,,,,,,
Hint Scorer,dev,0.87775,0.9227029654837141,0.8518850987432675,0.8858809801633606,0.6438901893854792,,,,,,,
Distractor Generation,dev,,,,,,300.0,0.0022222222222222222,1.0,0.9977777777777779,0.007515044299512318,0.05082878414250963,0.032622479974537176
